timestamp;value_co2;value_temp;value_hum;value_airpressure;value_light;
2022-03-18T13:10:10.000Z;1428.00;19.94;40.57;750.34;4.00;
2022-03-18T13:10:40.000Z;1433.00;20.28;39.85;750.40;4.00;
2022-03-18T13:11:11.000Z;1435.00;20.56;39.25;750.39;4.00;
2022-03-18T13:11:41.000Z;1433.00;20.70;38.75;750.38;4.00;
2022-03-18T13:12:11.000Z;1429.00;20.90;38.24;750.37;4.00;
2022-03-18T13:12:41.000Z;1424.00;21.11;37.90;750.39;4.00;
2022-03-18T13:13:12.000Z;1425.00;21.26;37.47;750.36;4.00;
2022-03-18T13:13:42.000Z;1424.00;21.40;37.24;750.36;4.00;
2022-03-18T13:14:12.000Z;1425.00;21.55;36.90;750.38;4.00;
2022-03-18T13:14:42.000Z;1427.00;21.64;36.65;750.39;4.00;
2022-03-18T13:15:12.000Z;1427.00;21.75;36.40;750.39;4.00;
2022-03-18T13:15:43.000Z;1428.00;21.83;36.30;750.38;4.00;
2022-03-18T13:16:13.000Z;1427.00;21.91;36.22;750.38;4.00;
2022-03-18T13:16:43.000Z;1427.00;21.96;36.04;750.38;4.00;
2022-03-18T13:17:13.000Z;1430.00;22.03;35.92;750.34;4.00;
2022-03-18T13:17:44.000Z;1428.00;22.07;35.86;750.33;4.00;
2022-03-18T13:18:14.000Z;1428.00;22.14;35.69;750.34;4.00;
2022-03-18T13:18:44.000Z;1426.00;22.21;35.55;750.35;4.00;
2022-03-18T13:19:14.000Z;1427.00;22.21;35.48;750.35;4.00;
2022-03-18T13:19:45.000Z;1423.00;22.29;35.32;750.34;4.00;
2022-03-18T13:20:15.000Z;1420.00;22.30;35.26;750.33;4.00;
2022-03-18T13:20:45.000Z;1418.00;22.30;35.22;750.34;4.00;
2022-03-18T13:21:15.000Z;1416.00;22.34;35.22;750.37;4.00;
2022-03-18T13:21:46.000Z;1416.00;22.36;35.21;750.39;4.00;
2022-03-18T13:22:16.000Z;1414.00;22.39;35.12;750.35;4.00;
2022-03-18T13:22:46.000Z;1415.00;22.41;35.08;750.38;4.00;
2022-03-18T13:23:16.000Z;1416.00;22.41;35.03;750.38;4.00;
2022-03-18T13:23:47.000Z;1415.00;22.48;34.97;750.37;4.00;
2022-03-18T13:24:17.000Z;1415.00;22.50;34.91;750.39;4.00;
2022-03-18T13:24:47.000Z;1414.00;22.50;34.99;750.39;4.00;
2022-03-18T13:25:17.000Z;1414.00;22.51;34.94;750.38;4.00;
2022-03-18T13:25:47.000Z;1414.00;22.50;34.92;750.39;4.00;
2022-03-18T13:26:18.000Z;1414.00;22.51;34.87;750.39;4.00;
2022-03-18T13:26:48.000Z;1412.00;22.52;34.80;750.37;4.00;
2022-03-18T13:27:18.000Z;1411.00;22.57;34.85;750.37;4.00;
2022-03-18T13:27:48.000Z;1411.00;22.52;34.75;750.37;4.00;
2022-03-18T13:28:19.000Z;1410.00;22.57;34.78;750.39;4.00;
2022-03-18T13:28:49.000Z;1411.00;22.55;34.79;750.37;4.00;
2022-03-18T13:29:19.000Z;1409.00;22.54;34.78;750.37;4.00;
2022-03-18T13:29:49.000Z;1410.00;22.55;34.74;750.37;4.00;
2022-03-18T13:30:20.000Z;1411.00;22.58;34.74;750.37;4.00;
2022-03-18T13:30:50.000Z;1410.00;22.57;34.70;750.39;4.00;
2022-03-18T13:31:20.000Z;1408.00;22.57;34.70;750.39;4.00;
2022-03-18T13:31:50.000Z;1409.00;22.58;34.73;750.38;4.00;
2022-03-18T13:32:21.000Z;1408.00;22.57;34.71;750.35;4.00;
2022-03-18T13:32:51.000Z;1408.00;22.60;34.70;750.35;4.00;
2022-03-18T13:33:21.000Z;1412.00;22.61;34.69;750.36;4.00;
2022-03-18T13:33:51.000Z;1413.00;22.61;34.69;750.35;4.00;
2022-03-18T13:34:22.000Z;1412.00;22.61;34.63;750.37;4.00;
2022-03-18T13:34:52.000Z;1412.00;22.58;34.71;750.33;4.00;
2022-03-18T13:35:22.000Z;1412.00;22.64;34.68;750.33;4.00;
2022-03-18T13:35:52.000Z;1411.00;22.57;34.77;750.31;4.00;
2022-03-18T13:36:23.000Z;1411.00;22.60;34.70;750.32;4.00;
2022-03-18T13:36:53.000Z;1410.00;22.57;34.74;750.29;4.00;
2022-03-18T13:37:23.000Z;1410.00;22.60;34.70;750.34;4.00;
2022-03-18T13:37:53.000Z;1409.00;22.62;34.68;750.32;4.00;
2022-03-18T13:38:23.000Z;1408.00;22.64;34.70;750.31;4.00;
2022-03-18T13:38:54.000Z;1408.00;22.62;34.74;750.28;4.00;
2022-03-18T13:39:24.000Z;1409.00;22.62;34.73;750.29;4.00;
2022-03-18T13:39:54.000Z;1406.00;22.60;34.71;750.29;4.00;
2022-03-18T13:40:24.000Z;1403.00;22.58;34.74;750.28;4.00;
2022-03-18T13:40:55.000Z;1405.00;22.55;34.74;750.23;4.00;
2022-03-18T13:41:25.000Z;1405.00;22.60;34.71;750.24;4.00;
2022-03-18T13:41:55.000Z;1406.00;22.62;34.72;750.26;4.00;
2022-03-18T13:42:25.000Z;1409.00;22.62;34.70;750.25;4.00;
2022-03-18T13:42:56.000Z;1408.00;22.61;34.69;750.24;4.00;
2022-03-18T13:43:26.000Z;1405.00;22.65;34.68;750.22;4.00;
2022-03-18T13:43:56.000Z;1403.00;22.67;34.61;750.22;4.00;
2022-03-18T13:44:26.000Z;1403.00;22.65;34.60;750.22;4.00;
