timestamp;value_co2;value_hum;value_airpressure;value_light;value_temp
2022-03-10T17:40:12.000Z;721.00;29.92;1011,52;0.00;18.01
2022-03-10T17:40:43.000Z;672.00;29.06;1011,51;66.00;18.31
2022-03-10T17:41:13.000Z;662.00;27.93;1011,53;44.00;18.53
2022-03-10T17:41:43.000Z;651.00;28.10;1011,48;42.00;18.71
2022-03-10T17:42:13.000Z;639.00;27.49;1011,52;42.00;18.90
2022-03-10T17:42:44.000Z;635.00;26.91;1011,49;42.00;19.01
2022-03-10T17:43:14.000Z;633.00;27.88;1011,48;40.00;19.18
2022-03-10T17:43:44.000Z;633.00;26.31;1011,51;40.00;19.27
2022-03-10T17:44:14.000Z;638.00;27.09;1011,49;39.00;19.37
2022-03-10T17:44:45.000Z;640.00;26.52;1011,45;39.00;19.46
2022-03-10T17:45:15.000Z;642.00;25.79;1011,49;39.00;19.54
2022-03-10T17:45:45.000Z;642.00;26.55;1011,50;37.00;19.64
2022-03-10T17:46:15.000Z;641.00;27.35;1011,51;36.00;19.70
2022-03-10T17:46:46.000Z;638.00;26.23;1011,52;36.00;19.75
2022-03-10T17:47:16.000Z;636.00;27.11;1011,54;36.00;19.82
2022-03-10T17:47:46.000Z;635.00;26.97;1011,46;35.00;19.86
2022-03-10T17:48:16.000Z;631.00;27.26;1011,49;34.00;19.92
2022-03-10T17:48:46.000Z;626.00;27.22;1011,52;32.00;19.95
2022-03-10T17:49:17.000Z;621.00;27.03;1011,52;33.00;19.98
2022-03-10T17:49:47.000Z;617.00;26.38;1011,51;32.00;20.04
2022-03-10T17:50:17.000Z;613.00;27.27;1011,49;30.00;20.04
2022-03-10T17:50:47.000Z;609.00;25.82;1011,52;29.00;20.04
2022-03-10T17:51:18.000Z;606.00;26.90;1011,49;29.00;20.07
2022-03-10T17:51:48.000Z;604.00;26.16;1011,55;28.00;20.09
2022-03-10T17:52:18.000Z;602.00;26.49;1011,50;27.00;20.12
2022-03-10T17:52:48.000Z;601.00;26.83;1011,53;27.00;20.12
2022-03-10T17:53:19.000Z;599.00;25.52;1011,54;27.00;20.13
2022-03-10T17:53:49.000Z;605.00;25.44;1011,56;26.00;20.13
2022-03-10T17:54:19.000Z;604.00;26.14;1011,50;25.00;20.16
2022-03-10T17:54:49.000Z;607.00;26.43;1011,56;24.00;20.15
2022-03-10T17:55:19.000Z;607.00;26.45;1011,54;23.00;20.16
2022-03-10T17:55:50.000Z;609.00;26.03;1011,55;22.00;20.16
2022-03-10T17:56:20.000Z;613.00;25.62;1011,56;22.00;20.15
2022-03-10T17:56:50.000Z;617.00;25.81;1011,49;22.00;20.18
2022-03-10T17:57:20.000Z;620.00;25.90;1011,55;20.00;20.16
2022-03-10T17:57:51.000Z;618.00;26.24;1011,54;20.00;20.15
2022-03-10T17:58:21.000Z;615.00;26.83;1011,49;18.00;20.16
2022-03-10T17:58:51.000Z;612.00;27.10;1011,52;18.00;20.18
2022-03-10T17:59:21.000Z;615.00;25.60;1011,51;16.00;20.16
2022-03-10T17:59:52.000Z;618.00;25.72;1011,53;15.00;20.19
2022-03-10T18:00:22.000Z;618.00;26.59;1011,54;12.00;20.18
timestamp;value;value;#WERT!;value;value
2022-03-10T18:01:23.000Z;622.00;26.73;1011,50;0.00;19.80
2165-165-165T45:165:85.000Z;0.00;0.00;1011,47;35.00;0.00
2022-03-10T18:02:23.000Z;0.00;0.00;1011,51;31.00;0.00
2022-03-10T18:02:53.000Z;0.00;0.00;1011,41;31.00;0.00
2022-03-10T18:03:23.000Z;0.00;0.00;1011,48;32.00;0.00
2022-03-10T18:03:54.000Z;0.00;0.00;1011,47;30.00;0.00
2022-03-10T18:04:24.000Z;0.00;0.00;1011,47;34.00;0.00
2022-03-10T18:04:54.000Z;0.00;0.00;1011,45;29.00;0.00
2022-03-10T18:05:24.000Z;0.00;0.00;1011,48;23.00;0.00
2022-03-10T18:05:55.000Z;0.00;0.00;1011,52;25.00;0.00
2022-03-10T18:06:25.000Z;0.00;0.00;1011,47;22.00;0.00
2022-03-10T18:06:55.000Z;0.00;0.00;1011,56;24.00;0.00
2022-03-10T18:07:25.000Z;0.00;0.00;1011,52;22.00;0.00
2022-03-10T18:07:55.000Z;0.00;0.00;1011,53;24.00;0.00
2022-03-10T18:08:26.000Z;0.00;0.00;1011,51;30.00;0.00
2022-03-10T18:08:56.000Z;0.00;0.00;1011,54;26.00;0.00
2022-03-10T18:09:26.000Z;0.00;0.00;1011,49;28.00;0.00
2022-03-10T18:09:56.000Z;0.00;0.00;1011,51;23.00;0.00
2022-03-10T18:10:27.000Z;0.00;0.00;1011,51;19.00;0.00
2022-03-10T18:10:57.000Z;0.00;0.00;1011,56;21.00;0.00
2022-03-10T18:11:27.000Z;0.00;0.00;1011,54;17.00;0.00
2022-03-10T18:11:57.000Z;0.00;0.00;1011,56;19.00;0.00
2022-03-10T18:12:27.000Z;0.00;0.00;1011,54;15.00;0.00
2022-03-10T18:12:58.000Z;0.00;0.00;1011,52;17.00;0.00
2022-03-10T18:13:28.000Z;0.00;0.00;1011,54;17.00;0.00
2022-03-10T18:13:58.000Z;0.00;0.00;1011,53;23.00;0.00
2022-03-10T18:14:28.000Z;0.00;0.00;1011,58;23.00;0.00
2022-03-10T18:14:59.000Z;0.00;0.00;1011,57;20.00;0.00
2022-03-10T18:15:29.000Z;0.00;0.00;1011,55;16.00;0.00
2022-03-10T18:15:59.000Z;0.00;0.00;1011,58;12.00;0.00
2022-03-10T18:16:29.000Z;0.00;0.00;1011,56;8.00;0.00
2022-03-10T18:16:59.000Z;0.00;0.00;1011,55;14.00;0.00
2022-03-10T18:17:30.000Z;0.00;0.00;1011,55;4.00;0.00
2022-03-10T18:18:00.000Z;0.00;0.00;1011,56;16.00;0.00
2022-03-10T18:18:30.000Z;0.00;0.00;1011,53;11.00;0.00
2022-03-10T18:19:00.000Z;0.00;0.00;1011,54;11.00;0.00
2022-03-10T18:19:31.000Z;0.00;0.00;1011,65;13.00;0.00
2022-03-10T18:20:01.000Z;0.00;0.00;1011,56;9.00;0.00
